Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2016/5/16,SPY,204.960007,207.339996,204.889999,206.779999,199.596619,77486800
2016/5/17,SPY,206.460007,206.800003,204.229996,204.850006,197.733643,114924900
2016/5/18,SPY,204.440002,206.300003,203.630005,204.910004,197.79158,123493400
2016/5/19,SPY,204.059998,204.539993,202.779999,204.199997,197.106247,115430500
2016/5/20,SPY,204.919998,206.100006,204.860001,205.490005,198.35141,104990400
2016/5/23,SPY,205.509995,205.839996,204.990005,205.210007,198.081161,58117700
2016/5/24,SPY,206.169998,208.240005,206.139999,207.869995,200.648743,93537800
2016/5/25,SPY,208.669998,209.770004,207.869995,209.279999,202.009766,76621400
2016/5/26,SPY,209.440002,209.710007,208.970001,209.339996,202.067673,53087800
2016/5/27,SPY,209.529999,210.25,209.470001,210.240005,202.936417,64211200
2016/5/31,SPY,210.559998,210.690002,209.179993,209.839996,202.550308,109879400
2016/6/1,SPY,209.119995,210.479996,208.889999,210.270004,202.965363,69936200
2016/6/2,SPY,209.800003,210.929993,209.240005,210.910004,203.58313,60661400
2016/6/3,SPY,210.25,210.690002,208.860001,210.279999,202.975006,101757100
2016/6/6,SPY,210.699997,211.770004,210.509995,211.350006,204.007858,64887000
2016/6/7,SPY,211.529999,212.339996,211.5,211.679993,204.32637,60974800
2016/6/8,SPY,211.839996,212.520004,211.690002,212.369995,204.992416,66170900
2016/6/9,SPY,211.509995,212.220001,211.190002,212.080002,204.712463,73786900
2016/6/10,SPY,210.460007,210.860001,209.429993,210.070007,202.772324,113829200
2016/6/13,SPY,209.360001,210.369995,208.350006,208.449997,201.208588,117751200
2016/6/14,SPY,208,208.740005,206.919998,208.039993,200.812836,125059300
2016/6/15,SPY,208.039993,209.360001,207.529999,207.75,200.532928,109124500
2016/6/16,SPY,207.75,208.570007,205.589996,208.369995,201.131378,149533100
2016/6/17,SPY,207.169998,207.199997,205.75,206.520004,200.382324,117055700
2016/6/20,SPY,208.820007,209.610001,207.75,207.850006,201.672806,82789600
2016/6/21,SPY,208.300003,208.919998,207.779999,208.440002,202.245255,72461700
2016/6/22,SPY,208.649994,209.5,207.929993,208.100006,201.915359,95560500
2016/6/23,SPY,209.809998,210.869995,209.270004,210.809998,204.544815,102731400
2016/6/24,SPY,203.630005,210.850006,202.720001,203.240005,197.199814,333444400
2016/6/27,SPY,201.589996,201.600006,198.649994,199.600006,193.667984,230775800
2016/6/28,SPY,201.479996,203.229996,201.119995,203.199997,197.16098,159382400
2016/6/29,SPY,204.839996,206.929993,204.720001,206.660004,200.518143,137328600
2016/6/30,SPY,207.210007,209.539993,206.559998,209.479996,203.254349,165021900
2016/7/1,SPY,209.479996,210.490005,209.289993,209.919998,203.681259,106055300
2016/7/5,SPY,208.949997,209.080002,207.710007,208.410004,202.216141,109803700
2016/7/6,SPY,207.830002,209.800003,207.059998,209.660004,203.429016,96021500
2016/7/7,SPY,209.869995,210.649994,208.630005,209.529999,203.302841,81705800
2016/7/8,SPY,211.050003,212.940002,210.779999,212.649994,206.330124,133971000
2016/7/11,SPY,213.190002,214.070007,212.949997,213.399994,207.057861,73633900
2016/7/12,SPY,214.529999,215.300003,213.429993,214.949997,208.561783,101275600
2016/7/13,SPY,215.440002,215.449997,214.350006,214.919998,208.532669,87324100
2016/7/14,SPY,216.399994,216.669998,215.660004,216.119995,209.697021,91230900
2016/7/15,SPY,216.779999,217.009995,215.309998,215.830002,209.415619,107155400
2016/7/18,SPY,215.970001,216.600006,215.669998,216.410004,209.978394,58725900
2016/7/19,SPY,215.919998,216.229996,215.630005,216.190002,209.764938,54345700
2016/7/20,SPY,216.190002,217.369995,216.190002,217.089996,210.638168,58159500
2016/7/21,SPY,216.960007,217.220001,215.75,216.270004,209.842545,67777300
2016/7/22,SPY,216.410004,217.300003,216.100006,217.240005,210.783737,62787500
2016/7/25,SPY,217,217.059998,215.970001,216.649994,210.211243,55873100
2016/7/26,SPY,216.529999,217.169998,215.759995,216.75,210.308289,70080500
2016/7/27,SPY,217.190002,217.270004,215.619995,216.520004,210.085144,80870400
2016/7/28,SPY,216.289993,217.110001,215.75,216.770004,210.327698,65035700
2016/7/29,SPY,216.460007,217.539993,216.130005,217.119995,210.667282,79519400
2016/8/1,SPY,217.190002,217.649994,216.410004,216.940002,210.492645,73311400
2016/8/2,SPY,216.649994,216.830002,214.570007,215.550003,209.143967,92295500
2016/8/3,SPY,215.479996,216.25,215.130005,216.179993,209.755219,53993600
2016/8/4,SPY,216.309998,216.779999,214.25,216.410004,209.978394,44476100
2016/8/5,SPY,216.410004,218.229996,216.410004,218.179993,211.69577,71892200
2016/8/8,SPY,218.399994,218.520004,217.740005,218.050003,211.569656,39906500
